VAT,Period,Electricity Transport rate (Euro/year),Fixed delivery rate (Euro/year),Variable delivery rate (Euro/kWh),ODE tax (Environmental Taxes Act) (Euro/kWh),Energy tax (Euro/kWh),Energy tax refund (Euro/year)
Including VAT,2021 January,257.36,71.33,0.0697,0.0363,0.11408,-558.56
Including VAT,2021 February,257.36,71.61,0.0735,0.0363,0.11408,-558.56
Including VAT,2021 March,257.36,71.61,0.0753,0.0363,0.11408,-558.56
Including VAT,2021 April,257.36,72.12,0.0768,0.0363,0.11408,-558.56
Including VAT,2021 May,257.36,72.12,0.0779,0.0363,0.11408,-558.56
Including VAT,2021 June,257.36,72.12,0.0812,0.0363,0.11408,-558.56
Including VAT,2021 July,257.36,73.26,0.0928,0.0363,0.11408,-558.56
Including VAT,2021 August,257.36,73.26,0.0942,0.0363,0.11408,-558.56
Including VAT,2021 September,257.36,73.26,0.1064,0.0363,0.11408,-558.56
Including VAT,2021 October,257.36,73.26,0.127,0.0363,0.11408,-558.56
Including VAT,2021 November,257.36,73.26,0.1755,0.0363,0.11408,-558.56
Including VAT,2021 December,257.36,72.82,0.2188,0.0363,0.11408,-558.56
